log_file,date,compute_system,file_system,application,shared_or_fpp,read_or_write,md5
glock_hacc_io_write_id3753767_2-14-40280-12013621319616406548_2.darshan,2017-02-14,cori,bb-shared,hacc_io_write,fpp,write,7473d3abccbd1a54f5060263a7244399
glock_hacc_io_write_id3753767_2-14-40311-9970157983098361689_2.darshan,2017-02-14,cori,bb-private,hacc_io_write,fpp,write,80d8749d5dbc1ad333c5eed6e590b8ad
glock_hacc_io_read_id3753767_2-14-40339-2459286774015111119_3.darshan,2017-02-14,cori,cscratch,hacc_io_read,fpp,read,37e9e152b64a2a998b7486a86b370cb8
glock_hacc_io_read_id3753767_2-14-40382-14394892385409963526_2.darshan,2017-02-14,cori,bb-shared,hacc_io_read,fpp,read,d6c663e32d15ed23a9f001eba4c709bd
glock_hacc_io_read_id3753767_2-14-40419-6430380859211133106_1.darshan,2017-02-14,cori,bb-private,hacc_io_read,fpp,read,376263afe8472a1e3afd934fd62a406e
glock_vpicio_uni_id3753767_2-14-40455-16624575589151477929_1.darshan,2017-02-14,cori,cscratch,vpicio_uni,shared,write,2f19075c45ebec936380fb81aec3754d
glock_vpicio_uni_id3753767_2-14-40764-13137353302629562223_1.darshan,2017-02-14,cori,bb-shared,vpicio_uni,shared,write,bb1beda3b60f6a008a9419c494d3e192
glock_dbscan_read_id3753767_2-14-40806-18065558471786703180_1.darshan,2017-02-14,cori,cscratch,dbscan_read,shared,read,fa03da97435579c8fb5412bc7be33284
glock_dbscan_read_id3753767_2-14-40863-11323197333274106300_1.darshan,2017-02-14,cori,bb-shared,dbscan_read,shared,read,ff57f3db007c6e9ea81863a3d94c4031
glock_ior_id3904444_2-14-47186-16382881032584217997_1.darshan,2017-02-14,edison,scratch1,ior,shared,write,53056e506c0bc8a9345981348811ac12
glock_ior_id3904445_2-14-47187-4206678711650911942_1.darshan,2017-02-14,edison,scratch2,ior,shared,write,126dbf5df4012defd8bd6367abae05bb
glock_ior_id3904445_2-14-47246-3930856672749734707_1.darshan,2017-02-14,edison,scratch2,ior,fpp,write,3375c31bcf50a193d73a7b18269165d2
glock_ior_id3904444_2-14-47313-10085809702731300224_1.darshan,2017-02-14,edison,scratch1,ior,fpp,write,24696bc092fe9f48cb5418fb712c62a0
glock_ior_id3904445_2-14-47343-12566472383394804542_1.darshan,2017-02-14,edison,scratch2,ior,shared,read,2151bbb50bb36b19f2db21efa4c32d24
glock_ior_id3904445_2-14-47394-11959632179798387858_1.darshan,2017-02-14,edison,scratch2,ior,fpp,read,c8b36219d209c6395458f151e20e3671
glock_ior_id3904444_2-14-47404-12700116908083153822_1.darshan,2017-02-14,edison,scratch1,ior,shared,read,26b342ad0685a6c76aa2a449500ed656
glock_hacc_io_write_id3904445_2-14-47465-12218270063106672302_1.darshan,2017-02-14,edison,scratch2,hacc_io_write,fpp,write,edc687346b65db5965e3e31f7e873b72
glock_ior_id3904444_2-14-47468-8001965317882005099_1.darshan,2017-02-14,edison,scratch1,ior,fpp,read,9c64259712f12be7806592d92ca61caf
glock_hacc_io_write_id3904444_2-14-47556-13979619473068828042_1.darshan,2017-02-14,edison,scratch1,hacc_io_write,fpp,write,df8405491d8f9fbed10caeb4a981914f
glock_hacc_io_read_id3904445_2-14-47560-12189165720633711653_1.darshan,2017-02-14,edison,scratch2,hacc_io_read,fpp,read,5addbf17b6a1af0a7900996d5ec49cd4
glock_vpicio_uni_id3904445_2-14-47635-16532312935908389857_1.darshan,2017-02-14,edison,scratch2,vpicio_uni,shared,write,8ae7543af64015a46cdcbc5fabc8d669
glock_hacc_io_read_id3904444_2-14-47648-6184361044488303988_1.darshan,2017-02-14,edison,scratch1,hacc_io_read,fpp,read,e0604ac276cf01b6931d3600f149535d
glock_vpicio_uni_id3904444_2-14-47721-3800019318945271678_1.darshan,2017-02-14,edison,scratch1,vpicio_uni,shared,write,8d9e6d61c154cf239529a3f47227b5f3
glock_dbscan_read_id3904445_2-14-47783-2494748727539615854_1.darshan,2017-02-14,edison,scratch2,dbscan_read,shared,read,cfc2646cfd7f2d41e84e6a89410eb32e
glock_dbscan_read_id3904444_2-14-47857-4354284905078507855_1.darshan,2017-02-14,edison,scratch1,dbscan_read,shared,read,9eaa19b8d86fb1dd30b85049275e2a0f
glock_ior_id3904446_2-14-47916-1419267677719328227_3.darshan,2017-02-14,edison,scratch3,ior,shared,write,d0bf9898dbd47cabe6d8c6b507abf4f4
glock_ior_id3904446_2-14-47968-16532822406899754825_2.darshan,2017-02-14,edison,scratch3,ior,fpp,write,c3b81bc88c09ac36b609e6a582852d67
glock_ior_id3904446_2-14-48037-15941529046799728039_1.darshan,2017-02-14,edison,scratch3,ior,shared,read,795231c665fc4b94581484f2ba96f33f
glock_ior_id3904446_2-14-48084-4958051996766188452_1.darshan,2017-02-14,edison,scratch3,ior,fpp,read,8dbcf15c56aadfa1c04961f4c4e58caa
glock_hacc_io_write_id3904446_2-14-48140-6851304101060704381_5.darshan,2017-02-14,edison,scratch3,hacc_io_write,fpp,write,7766e7fc76646e30901a43e0a1319291
glock_hacc_io_read_id3904446_2-14-48207-17082067555039001150_3.darshan,2017-02-14,edison,scratch3,hacc_io_read,fpp,read,1ea1c8b8ab0b95077826ff05fae426c8
glock_vpicio_uni_id3904446_2-14-48265-645362707029668848_4.darshan,2017-02-14,edison,scratch3,vpicio_uni,shared,write,ef3381d15f0838d51a64e2d162c3bf03
glock_dbscan_read_id3904446_2-14-48390-1148575898849825388_1.darshan,2017-02-14,edison,scratch3,dbscan_read,shared,read,c46e001e173ef9a2df255f15b498a48b
glock_ior_id3755735_2-14-48659-350242966698383836_1.darshan,2017-02-14,cori,cscratch,ior,shared,write,41a5f6ebc9f8e536a27614502a7e0c74
glock_ior_id3755735_2-14-48789-12736909239380305545_2.darshan,2017-02-14,cori,cscratch,ior,fpp,write,6f94521fdcf27b067e11584668b4b407
glock_ior_id3755735_2-14-48818-13658133687957225156_1.darshan,2017-02-14,cori,bb-shared,ior,shared,write,2e8b46adf7b9bdc0e2e9840f19ce71f6
glock_ior_id3755735_2-14-48863-12930788378773099461_2.darshan,2017-02-14,cori,bb-private,ior,fpp,write,9fca756864cc894147c2de3921fb07e4
glock_ior_id3755735_2-14-48945-17164439586384535435_2.darshan,2017-02-14,cori,cscratch,ior,fpp,read,93f0cae6edfa134faaeeda5d95445ef1
glock_ior_id3755735_2-14-48980-8197968145198138923_1.darshan,2017-02-14,cori,bb-shared,ior,shared,read,67f1eed30cf43ab3325dfd655e31f6bb
glock_ior_id3755735_2-14-49040-1913523917699023407_2.darshan,2017-02-14,cori,bb-private,ior,fpp,read,8af779294a085aa28be95ff18c7d8ae8
glock_hacc_io_write_id3755735_2-14-49063-2085741485219045543_2.darshan,2017-02-14,cori,cscratch,hacc_io_write,fpp,write,5198648be49ae3c463fccebf8c6e8e55
glock_hacc_io_write_id3755735_2-14-49096-1051011656177820461_2.darshan,2017-02-14,cori,bb-shared,hacc_io_write,fpp,write,b4aacff5888cd8a726d5db9b33e7b454
glock_hacc_io_write_id3755735_2-14-49126-16212974335269800429_2.darshan,2017-02-14,cori,bb-private,hacc_io_write,fpp,write,2cb323170e260b25776b75077868eb4a
glock_hacc_io_read_id3755735_2-14-49154-7340258574291511829_2.darshan,2017-02-14,cori,cscratch,hacc_io_read,fpp,read,cb36e01a9425e1291d7aa1108b08a347
glock_hacc_io_read_id3755735_2-14-49195-769275328235763566_2.darshan,2017-02-14,cori,bb-shared,hacc_io_read,fpp,read,cf15603b7851befbe3933469bacb9344
glock_hacc_io_read_id3755735_2-14-49221-4453019587405934800_6.darshan,2017-02-14,cori,bb-private,hacc_io_read,fpp,read,b330cee85076087e52bd359bae5b1563
glock_vpicio_uni_id3755735_2-14-49252-14318123385449004281_1.darshan,2017-02-14,cori,cscratch,vpicio_uni,shared,write,551e5566fdc0cf4e62c989fd23664621
glock_vpicio_uni_id3755735_2-14-49563-8986021234374898295_1.darshan,2017-02-14,cori,bb-shared,vpicio_uni,shared,write,6398d99acec6434d0b9c83d7af5198a1
glock_dbscan_read_id3755735_2-14-49606-8457291773302001677_1.darshan,2017-02-14,cori,cscratch,dbscan_read,shared,read,937eb02482ab78d247eea1a10637b1b3
glock_dbscan_read_id3755735_2-14-49665-3990896985599689224_1.darshan,2017-02-14,cori,bb-shared,dbscan_read,shared,read,13f82d19fd2780a306f70f2ce6fe9c02
crusher_ior_id1024637_2-14-81635-16939116631783666374_1.darshan,2017-02-14,mira,mira-fs1,ior,shared,write,3ed2888ef83672469440cd8de82252cf
crusher_ior_id1024637_2-14-81749-7560104525894430294_2.darshan,2017-02-14,mira,mira-fs1,ior,fpp,write,c5d92ca94996726f718fcb65abf2e3a7
